x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,label,index
6,30,185027,6,13,4,5,4,0,0,0,40,1.0,14661
6,61,72442,6,7,0,5,4,0,0,0,40,1.0,20362
6,32,372692,6,9,13,5,4,0,0,0,40,-1.0,17269
6,18,115630,3,7,10,2,3,0,0,0,20,-1.0,7582
6,26,125089,3,10,8,4,4,0,0,0,40,-1.0,23328
6,47,156926,6,13,8,5,4,0,0,0,45,1.0,22601
6,33,111363,6,13,13,5,4,0,0,0,45,-1.0,6945
6,18,301762,3,9,10,2,4,1,0,0,25,-1.0,7713
6,23,528616,6,3,0,5,4,0,0,0,40,-1.0,7451
0,38,217054,1,10,11,4,4,0,0,0,40,-1.0,8693
8,31,156464,3,13,4,0,4,0,0,0,40,-1.0,31611
6,28,148429,6,9,2,5,4,0,2885,0,40,-1.0,25548
6,41,433989,6,11,12,5,4,0,4386,0,60,1.0,30922
0,44,219591,6,10,13,5,4,0,0,0,40,-1.0,21017
6,51,168660,6,7,1,5,4,0,0,0,40,-1.0,30093
6,25,86872,6,9,12,5,4,0,0,0,40,-1.0,14199
4,57,37345,6,15,4,5,4,0,0,0,36,1.0,22914
6,34,204052,3,9,13,4,4,0,0,0,40,-1.0,23408
6,55,213894,0,7,10,3,3,1,0,0,40,-1.0,11691
0,58,310014,6,13,11,5,4,0,0,0,25,-1.0,18938
6,22,186573,3,9,5,4,4,1,0,0,46,-1.0,29384
6,18,123856,3,7,12,2,4,1,0,0,49,-1.0,12935
6,32,79586,6,13,4,5,1,0,0,0,40,-1.0,29702
1,21,142766,3,10,8,2,4,0,0,0,40,-1.0,30015
6,25,306352,6,11,14,5,4,0,0,0,40,-1.0,6036
2,56,154537,1,10,7,3,4,1,0,0,50,1.0,13705
8,46,354962,6,9,2,5,3,0,0,0,40,-1.0,28591
6,36,112512,0,8,0,3,4,1,0,0,40,-1.0,25762
6,27,123984,3,12,0,4,1,1,0,0,35,-1.0,4800
8,34,255098,1,13,4,3,4,1,0,0,40,-1.0,2885
6,22,223019,3,9,10,4,4,1,0,0,40,-1.0,17879
6,25,195994,3,2,6,4,4,1,0,0,40,-1.0,5838
6,31,100252,1,13,0,4,1,0,99999,0,70,1.0,24275
6,30,209691,1,4,5,4,4,0,0,0,40,-1.0,29651
6,28,314177,3,6,1,0,3,0,0,0,40,-1.0,11363
6,33,143653,6,9,13,5,4,0,0,0,30,-1.0,937
1,53,43952,6,14,8,5,4,0,15024,0,38,1.0,10913
6,26,66638,3,13,8,4,4,1,0,0,50,-1.0,27176
6,19,86860,3,10,8,2,4,0,0,0,15,-1.0,19110
6,29,107458,3,13,12,4,4,0,0,0,50,-1.0,4487
0,37,30973,6,9,8,5,4,0,0,0,40,-1.0,13675
6,28,47907,3,13,10,4,4,1,0,0,40,-1.0,10847
6,52,180881,6,13,8,5,4,0,0,0,40,-1.0,11138
6,44,160785,6,13,12,5,4,0,0,0,60,1.0,4946
6,51,204447,6,10,4,5,4,0,0,0,45,1.0,14688
6,18,120029,3,10,10,0,4,1,0,0,20,-1.0,5774
0,64,192695,6,3,11,5,4,0,0,0,70,-1.0,19569
0,63,289741,6,14,11,5,4,0,41310,0,50,-1.0,20160
1,42,341638,6,13,4,5,4,0,0,0,40,1.0,11844
6,46,195023,2,9,2,4,4,1,0,0,40,-1.0,31279
6,57,108426,6,9,0,5,3,0,0,0,48,-1.0,3920
6,23,196827,6,10,2,5,4,0,0,1902,40,-1.0,2272
6,38,179314,6,9,1,5,4,0,0,0,40,-1.0,25208
8,49,199378,6,9,9,5,4,0,0,0,40,-1.0,15397
